node_id,lat,lon,type,frequency,ship_count,type_distribution,detailed_type
6095,23.078710914884955,113.3826160747785,waypoint,2,1,"{'waypoint': 1, 'stop_point': 1}",turn_point
6096,23.078540358811818,113.38345814790245,turn_point,2,1,{'turn_point': 2},turn_point
6097,23.078747533324005,113.38772875062192,waypoint,2,2,{'waypoint': 2},merge_point
6098,23.078727866440502,113.43700213893348,waypoint,2,1,{'waypoint': 2},waypoint
6099,23.078754875227524,113.44028770094016,waypoint,2,2,{'waypoint': 2},turn_point
6100,23.078818514363213,113.4425946273802,waypoint,2,2,{'waypoint': 2},turn_point
6101,23.078743482952987,113.44330415341398,waypoint,2,2,{'waypoint': 2},turn_point
6102,23.078716895708524,113.45526125566334,waypoint,2,2,{'waypoint': 2},turn_point
6103,23.078696443632264,113.45575347966346,waypoint,2,2,{'waypoint': 2},turn_point
6104,23.078602588922838,113.45726429348433,waypoint,2,2,{'waypoint': 2},turn_point
6105,23.078717190470655,113.54402824885852,waypoint,2,2,{'waypoint': 2},turn_point
6106,23.078680378051295,113.64661824944335,waypoint,2,2,{'waypoint': 2},turn_point
6107,23.079091183472464,112.02817809523313,waypoint,2,2,{'waypoint': 2},waypoint
6108,23.079444442663444,112.05577718577209,waypoint,2,1,"{'waypoint': 1, 'stop_point': 1}",merge_point
6109,23.07910546617265,112.05694739520308,waypoint,2,2,{'waypoint': 2},waypoint
6110,23.079182566180474,112.07169608109032,waypoint,2,2,{'waypoint': 2},waypoint
6111,23.079343854837347,112.16130052720577,waypoint,2,2,{'waypoint': 2},waypoint
6112,23.079283584145223,112.16970822333641,waypoint,2,2,{'waypoint': 2},waypoint
6113,23.079044658761042,112.17323477150819,waypoint,2,2,{'waypoint': 2},waypoint
6114,23.079300653229822,112.39474698156769,waypoint,2,2,{'waypoint': 2},turn_point
6115,23.079163965602667,113.43832434855443,waypoint,2,2,{'waypoint': 2},waypoint
6116,23.07917918461623,113.43928796877157,waypoint,2,2,{'waypoint': 2},turn_point
6117,23.079385735855514,113.44079253741465,waypoint,2,2,{'waypoint': 2},turn_point
6118,23.07939248456833,113.44616496398754,waypoint,2,2,{'waypoint': 2},merge_point
6119,23.079239996139357,113.44875356907559,waypoint,2,2,{'waypoint': 2},turn_point
6120,23.07938848438491,113.45073072322819,waypoint,2,2,{'waypoint': 2},turn_point
6121,23.079471909476403,113.45183272265146,waypoint,2,2,{'waypoint': 2},turn_point
6122,23.079223238554675,113.4520756557894,waypoint,2,2,{'waypoint': 2},turn_point
6123,23.079043010579543,113.45314260487376,waypoint,2,2,{'waypoint': 2},turn_point
6124,23.079325826932262,113.54256502421688,turn_point,2,1,"{'turn_point': 1, 'stop_point': 1}",bifurcation_point
6125,23.079157751969603,113.64733129511137,waypoint,2,2,{'waypoint': 2},turn_point
6126,23.07981622209842,112.06232388643615,waypoint,2,2,{'waypoint': 2},waypoint
6127,23.07978373864944,112.16021988597396,waypoint,2,2,{'waypoint': 2},waypoint
6128,23.07965760553423,112.96969722302924,waypoint,2,2,{'waypoint': 2},turn_point
6129,23.07967111843155,113.4391981020512,waypoint,2,2,{'waypoint': 2},turn_point
6130,23.0796842496254,113.44074769107736,waypoint,2,2,{'waypoint': 2},turn_point
6131,23.079809198027213,113.4431543494339,waypoint,2,2,{'waypoint': 2},turn_point
6132,23.079746820451227,113.4518133639207,waypoint,2,2,{'waypoint': 2},turn_point
6133,23.079842761731786,113.45747739458392,turn_point,2,2,"{'turn_point': 1, 'waypoint': 1}",turn_point
6134,23.07956638785242,113.45869568185672,waypoint,2,1,"{'waypoint': 1, 'stop_point': 1}",turn_point
6135,23.0795376397126,113.45928011500429,turn_point,2,1,"{'turn_point': 1, 'stop_point': 1}",turn_point
6136,23.07985351343816,113.54516979374995,waypoint,2,2,{'waypoint': 2},turn_point
6137,23.079790245720325,113.54565496057576,waypoint,2,2,{'waypoint': 2},merge_point
6138,23.08050963169283,112.0708776190663,stop_point,2,1,"{'stop_point': 1, 'waypoint': 1}",waypoint
6139,23.08039921627762,112.07164515489137,waypoint,2,2,{'waypoint': 2},turn_point
6140,23.08032326858476,112.07420766719528,waypoint,2,2,{'waypoint': 2},waypoint
6141,23.080291792010044,112.14819683044655,waypoint,2,1,"{'waypoint': 1, 'stop_point': 1}",merge_point
6142,23.080477288294603,112.18143025872295,waypoint,2,1,{'waypoint': 2},waypoint
6143,23.080307074325138,112.18282937646643,waypoint,2,2,{'waypoint': 2},waypoint
6144,23.080317081548678,112.18328887557905,waypoint,2,2,{'waypoint': 2},waypoint
6145,23.08036330745515,112.39354940071678,waypoint,2,2,{'waypoint': 2},waypoint
6146,23.080458027305394,112.39506032815845,waypoint,2,1,{'waypoint': 2},turn_point
6147,23.080400316973904,113.38612119466029,turn_point,2,1,{'turn_point': 2},merge_point
6148,23.08039563710406,113.4379286250412,waypoint,2,1,{'waypoint': 2},turn_point
6149,23.080212513183174,113.44068184766775,waypoint,2,2,{'waypoint': 2},turn_point
6150,23.080247361927256,113.4439305227689,waypoint,2,2,{'waypoint': 2},turn_point
